Asset,Metric,Description,Example
Campus WiFi,Failed Login Attempts,Number per system per week or month,26
Core Network,Policy Violation Rate,Percent systems/users violating security policy,72.5%
Email Suite,Policy Violation Rate,Percent systems/users violating security policy,91.8%
ERP System,Policy Violation Rate,Percent systems/users violating security policy,81.2%
Website,Policy Violation Rate,Percent systems/users violating security policy,97.4%
Student Portal,Policy Violation Rate,Percent systems/users violating security policy,76.8%
Cloud Servers,Policy Violation Rate,Percent systems/users violating security policy,68.7%
Campus WiFi,Policy Violation Rate,Percent systems/users violating security policy,95.4%
Core Network,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,93.6%
Email Suite,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,72.6%
ERP System,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,75.8%
Website,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,86.8%
Student Portal,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,83.9%
Cloud Servers,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,96.9%
Campus WiFi,Endpoint Protection Coverage,Percent of endpoints with active/updated protection,74.8%
Core Network,Security Training Completion Rate,Percent users completed training this cycle,85.9%
Email Suite,Security Training Completion Rate,Percent users completed training this cycle,71.1%
ERP System,Security Training Completion Rate,Percent users completed training this cycle,88.2%
Website,Security Training Completion Rate,Percent users completed training this cycle,84.3%
Student Portal,Security Training Completion Rate,Percent users completed training this cycle,76.5%
Cloud Servers,Security Training Completion Rate,Percent users completed training this cycle,81.5%
Campus WiFi,Security Training Completion Rate,Percent users completed training this cycle,67.3%
Core Network,False Positive Alert Rate,Percent of alerts determined as non-issues,86.5%
Email Suite,False Positive Alert Rate,Percent of alerts determined as non-issues,92.1%
ERP System,False Positive Alert Rate,Percent of alerts determined as non-issues,98.7%
Website,False Positive Alert Rate,Percent of alerts determined as non-issues,99.8%
Student Portal,False Positive Alert Rate,Percent of alerts determined as non-issues,77.3%
Cloud Servers,False Positive Alert Rate,Percent of alerts determined as non-issues,86.2%
Campus WiFi,False Positive Alert Rate,Percent of alerts determined as non-issues,89.4%
Core Network,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,73.2%
Email Suite,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,70.2%
ERP System,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,66.9%
Website,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,97.9%
Student Portal,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,70.1%
Cloud Servers,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,86.6%
Campus WiFi,Penetration Test Success Rate,Percent of pen-test findings addressed in-time,78.0%
Core Network,Regulatory Compliance Score,Audited or self-reported alignment with key controls,87.9%
Email Suite,Regulatory Compliance Score,Audited or self-reported alignment with key controls,75.0%
ERP System,Regulatory Compliance Score,Audited or self-reported alignment with key controls,81.5%
Website,Regulatory Compliance Score,Audited or self-reported alignment with key controls,66.7%
Student Portal,Regulatory Compliance Score,Audited or self-reported alignment with key controls,87.7%
Cloud Servers,Regulatory Compliance Score,Audited or self-reported alignment with key controls,89.1%
Campus WiFi,Regulatory Compliance Score,Audited or self-reported alignment with key controls,98.6%
