Component,Metric,Description,Example
Docker Platform,Incident Resolution SLA (%),Percent resolved within SLA targets,91.73%
Nginx Web Proxy,Incident Resolution SLA (%),Percent resolved within SLA targets,93.08%
Ubuntu Servers,Incident Resolution SLA (%),Percent resolved within SLA targets,97.87%
AWS S3 Storage,Incident Resolution SLA (%),Percent resolved within SLA targets,92.66%
Okta SSO,Incident Resolution SLA (%),Percent resolved within SLA targets,95.78%
Streamlit WebApp,Incident Resolution SLA (%),Percent resolved within SLA targets,99.21%
PowerBI Connector,Incident Resolution SLA (%),Percent resolved within SLA targets,95.23%
PostgreSQL DB,Known Bugs Open,Count of unresolved bugs/defects,9
Docker Platform,Known Bugs Open,Count of unresolved bugs/defects,8
Nginx Web Proxy,Known Bugs Open,Count of unresolved bugs/defects,16
Ubuntu Servers,Known Bugs Open,Count of unresolved bugs/defects,4
AWS S3 Storage,Known Bugs Open,Count of unresolved bugs/defects,14
Okta SSO,Known Bugs Open,Count of unresolved bugs/defects,5
Streamlit WebApp,Known Bugs Open,Count of unresolved bugs/defects,2
PowerBI Connector,Known Bugs Open,Count of unresolved bugs/defects,17
PostgreSQL DB,Change Volume (last 90d),Number of production code/config changes,3
Docker Platform,Change Volume (last 90d),Number of production code/config changes,4
Nginx Web Proxy,Change Volume (last 90d),Number of production code/config changes,11
Ubuntu Servers,Change Volume (last 90d),Number of production code/config changes,3
AWS S3 Storage,Change Volume (last 90d),Number of production code/config changes,7
Okta SSO,Change Volume (last 90d),Number of production code/config changes,12
Streamlit WebApp,Change Volume (last 90d),Number of production code/config changes,0
PowerBI Connector,Change Volume (last 90d),Number of production code/config changes,4
