Component,Metric,Description,Example
Old ERP System,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),3
Library Firewall,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),7
Legacy Email Server,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),4
Campus WiFi,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),6
Data Analytics Stack,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),2
Finance Integration,Stakeholder Priority Ranking,Rank (1=highest priority for resolution),7
Student Portal,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,6.7
Network Core,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,8.0
Old ERP System,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,6.9
Library Firewall,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,9.2
Legacy Email Server,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,9.4
Campus WiFi,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,6.6
Data Analytics Stack,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,9.1
Finance Integration,Risk Acceptance Exception Flag,Is debt/risk formally accepted by leadership?,4.7
Student Portal,Decommissioning Target Date,Planned date for retiring/outdated tech,2027-01-27
Network Core,Decommissioning Target Date,Planned date for retiring/outdated tech,2026-01-19
Old ERP System,Decommissioning Target Date,Planned date for retiring/outdated tech,2026-03-10
Library Firewall,Decommissioning Target Date,Planned date for retiring/outdated tech,2026-02-28
Legacy Email Server,Decommissioning Target Date,Planned date for retiring/outdated tech,2026-02-11
Campus WiFi,Decommissioning Target Date,Planned date for retiring/outdated tech,2025-09-07
Data Analytics Stack,Decommissioning Target Date,Planned date for retiring/outdated tech,2026-10-11
Finance Integration,Decommissioning Target Date,Planned date for retiring/outdated tech,2027-03-29
