date,asset_name,asset_type,asset_age_years,lifecycle_stage,annual_maintenance_cost,total_assets,end_of_life_next_12_months,refresh_budget_utilization,maintenance_cost_trend
2025-05-16,Dell Server R740,Firewall,2.9,Active,10988,12,8,79.38923585480416,24877
2025-06-14,Cisco IP Phone,UPS,1.0,Active,14068,6,2,54.226050967818864,2302
2025-07-04,Facilities UPS,Phone,2.3,End-of-Life,8650,11,7,81.02580306957324,8809
2025-03-13,Staff Laptop A14,UPS,1.5,Maintenance,2146,12,10,71.60567426326578,10172
2025-03-17,Dell Server R740,Phone,4.5,Maintenance,14003,6,6,63.86420815523113,3062
2025-03-16,Cisco IP Phone,Phone,3.0,End-of-Life,5132,6,3,68.69849707152781,9561
2025-05-05,Core Network Switch,Firewall,4.1,End-of-Life,4706,11,1,72.88711329752186,14199
2025-06-20,HVAC Controller,Laptop,3.3,New,14329,9,9,75.37776111467863,12167
2025-04-27,Student Portal Application,Phone,5.0,New,1960,11,4,52.642956959216605,7622
2025-06-19,HVAC Controller,Phone,1.9,Active,11089,12,7,89.83827123132126,15046
2025-07-08,Staff Laptop A14,Controller,3.6,End-of-Life,9611,12,5,64.89277995228709,16043
2025-05-13,HVAC Controller,Controller,6.6,New,14417,11,2,86.04307365766763,22673
2025-05-17,Staff Laptop A14,UPS,4.1,New,14456,11,9,61.18396182021218,18608
2025-03-19,Core Network Switch,Application,1.4,Active,13441,11,4,70.30519781796735,8988
2025-03-02,Core Network Switch,Phone,3.0,Active,760,12,9,94.49801161949726,20444
2025-08-14,Dell Server R740,Application,2.4,New,11068,6,8,74.78193703039221,16231
2025-04-06,Cisco IP Phone,Laptop,3.1,New,2104,11,11,93.25134553332563,3908
2025-06-27,Staff Laptop A14,Server,2.0,Maintenance,10262,6,7,81.07982753756386,7951
2025-05-31,Facilities UPS,Laptop,6.5,Active,14639,11,2,53.21328989654965,21282
2025-06-30,Library Firewall,Switch,7.3,New,14560,7,8,79.14910317085662,11510
2025-06-11,Library Firewall,UPS,4.0,Active,6484,12,0,56.61063475734086,3248
2025-04-21,Facilities UPS,UPS,5.2,Maintenance,8889,11,2,76.38540265357089,23951
2025-03-14,Cisco IP Phone,Firewall,4.2,Active,9946,8,3,94.88463079619217,3120
2025-08-01,Cisco IP Phone,Server,0.8,Active,10549,7,4,88.83828183808748,13104
2025-06-25,Library Firewall,Firewall,1.3,End-of-Life,14688,9,7,70.11441737312651,22103
2025-03-04,Student Portal Application,Controller,3.6,New,4725,8,2,79.697422223355,2793
2025-04-11,Staff Laptop A14,Firewall,6.7,Active,14653,11,5,65.042570838182,2814
2025-05-28,Library Firewall,Laptop,1.7,New,8283,11,1,75.57271177173239,2827
2025-08-17,HVAC Controller,Application,4.7,End-of-Life,11627,10,7,77.5683605494123,10795
2025-03-30,Dell Server R740,Server,3.7,New,12225,6,5,90.53430991278566,3792
2025-04-14,Student Portal Application,Firewall,1.7,End-of-Life,9897,12,8,61.60732063274695,22405
2025-04-23,Staff Laptop A14,UPS,5.1,Maintenance,7612,10,8,55.27899041878187,8456
2025-06-24,Dell Server R740,Server,1.4,End-of-Life,1036,7,10,91.14801158992424,10070
2025-08-08,Staff Laptop A14,Server,4.9,Maintenance,5471,8,2,57.411322137857596,14312
2025-08-26,Library Firewall,Firewall,7.4,New,4880,12,10,76.61321439597651,12395
2025-06-21,Student Portal Application,Server,1.8,End-of-Life,3932,6,3,65.73120618635119,23566
2025-06-11,Core Network Switch,Controller,5.0,New,9681,12,2,55.49527965477929,4079
2025-08-04,Student Portal Application,Server,0.8,Active,7811,8,1,59.70223396104858,7490
2025-08-21,Dell Server R740,Switch,4.5,New,10853,11,5,83.26781405331204,24400
2025-03-07,Student Portal Application,Controller,7.6,End-of-Life,5373,7,2,77.19997716195078,21835
2025-05-25,Cisco IP Phone,Application,6.8,Maintenance,11771,6,8,56.098608096647474,16295
2025-05-10,Library Firewall,Server,6.5,Maintenance,7718,6,11,56.90913905233633,9970
2025-06-03,Facilities UPS,Phone,5.0,Active,3038,9,3,78.40425682853231,24996
2025-07-19,Cisco IP Phone,Controller,7.2,Maintenance,4925,12,0,55.394312757301364,22626
2025-06-19,Student Portal Application,Laptop,4.9,End-of-Life,4677,7,0,85.87217808692205,24419
2025-03-10,Dell Server R740,Controller,3.3,Maintenance,11882,9,3,76.2074453924567,15221
2025-07-14,Dell Server R740,Firewall,2.7,End-of-Life,12269,11,11,52.00565878832263,17517
2025-06-27,Staff Laptop A14,Phone,4.0,End-of-Life,3268,7,2,70.62288279409609,14808
2025-04-08,Dell Server R740,Firewall,3.5,New,6377,11,10,66.08519672766408,10633
2025-03-28,Student Portal Application,Switch,2.5,Maintenance,7481,7,4,85.75272142012285,9184
2025-08-11,Core Network Switch,Phone,6.7,Maintenance,8541,11,4,58.18419013173082,17646
2025-07-11,Staff Laptop A14,UPS,2.4,New,6636,10,6,73.66471890897003,13664
2025-07-31,Student Portal Application,Application,6.3,Active,14387,7,11,92.93135886566102,21250
2025-04-04,Staff Laptop A14,Switch,1.0,Maintenance,5915,8,3,80.95229525921228,13046
2025-04-22,Dell Server R740,Controller,5.5,Active,13193,10,7,55.74701892953784,9715
2025-07-25,Staff Laptop A14,Laptop,6.8,New,7601,8,10,61.712194540848046,2153
2025-05-11,Core Network Switch,UPS,6.0,New,560,8,7,66.74136693018731,15350
2025-04-03,Staff Laptop A14,Switch,6.5,End-of-Life,10150,11,5,74.51153334345435,20706
2025-06-08,HVAC Controller,Laptop,7.4,New,5636,7,8,67.30028864789779,22491
2025-04-30,Facilities UPS,UPS,6.2,Maintenance,3208,6,6,81.20516646365692,9119
2025-03-24,Dell Server R740,Server,5.3,Maintenance,4493,6,9,46.9713405684253,6873
2025-03-15,Cisco IP Phone,Server,1.9,New,3657,7,6,46.69729892928994,10820
2025-03-06,Core Network Switch,Laptop,7.4,Active,9518,12,1,82.25322740601102,20803
2025-08-13,Staff Laptop A14,Switch,4.4,Maintenance,5892,11,7,56.50044186438515,15409
2025-07-08,Student Portal Application,Laptop,3.0,Maintenance,7626,9,6,60.76451689153052,8640
2025-03-03,Student Portal Application,Phone,2.9,Active,12803,10,9,88.83326889312247,13713
2025-04-23,Staff Laptop A14,Switch,7.9,Maintenance,13546,10,1,91.95338492564481,5810
2025-06-30,Cisco IP Phone,Phone,3.1,Active,2532,10,4,68.98906634282524,2271
2025-06-28,Dell Server R740,Phone,3.6,Maintenance,4935,10,0,56.938857288415115,4050
2025-08-19,Library Firewall,UPS,2.7,End-of-Life,645,11,4,47.104659481818096,16286
2025-05-11,Cisco IP Phone,Server,3.4,End-of-Life,10926,7,4,84.3172507207776,11130
2025-07-01,Library Firewall,Controller,7.1,Active,12107,8,1,53.35169730460376,16899
2025-03-03,Staff Laptop A14,UPS,7.6,Maintenance,5929,10,2,70.63442555082543,13593
2025-06-14,Dell Server R740,Server,2.2,New,11245,8,7,62.50626295833651,20180
2025-04-22,Cisco IP Phone,Controller,7.1,Maintenance,13831,7,0,53.69476246097437,9657
2025-08-09,Dell Server R740,Switch,5.7,End-of-Life,8694,8,5,76.14686914675593,2892
2025-05-27,Core Network Switch,Application,4.9,Active,1790,6,7,58.2800021294353,19602
2025-07-30,Dell Server R740,Application,0.8,Maintenance,12827,6,4,81.76063272617264,17585
2025-07-01,Cisco IP Phone,Phone,2.4,New,5795,7,1,49.0523107953824,11903
2025-03-27,Student Portal Application,Firewall,6.9,End-of-Life,10016,11,2,86.23404829625746,3591
2025-04-08,Dell Server R740,UPS,4.7,New,1812,11,7,84.8713010803464,21623
2025-05-30,Core Network Switch,Laptop,7.0,New,7424,8,8,91.50451752548693,22670
2025-08-01,Library Firewall,Application,1.7,Maintenance,1056,7,8,46.462364151727954,16870
2025-08-16,Dell Server R740,UPS,3.0,Active,10266,12,1,85.8983512059531,18077
2025-05-15,Student Portal Application,Application,0.5,End-of-Life,14336,11,10,94.05930890137117,4064
2025-06-11,Cisco IP Phone,Switch,5.3,End-of-Life,13462,11,2,83.05139512510141,23736
2025-05-01,HVAC Controller,Application,1.8,New,5584,11,3,53.68767376537834,14771
2025-05-06,Staff Laptop A14,UPS,5.8,Active,8573,11,0,47.89602302793992,13383
2025-04-18,Library Firewall,UPS,5.6,End-of-Life,12439,8,2,74.71979296142726,23510
2025-03-28,Staff Laptop A14,Server,2.9,Maintenance,12691,8,10,79.16476883032526,13801
2025-08-20,Dell Server R740,Firewall,7.6,Maintenance,7040,6,6,71.3512048105931,4844
2025-08-03,Staff Laptop A14,Application,6.8,Maintenance,13761,9,5,51.566756320468905,22162
2025-05-19,Library Firewall,Application,0.7,New,4616,12,4,76.92629738320429,18133
2025-07-24,Core Network Switch,Firewall,7.9,New,13357,9,5,56.49773029455431,3980
2025-08-09,Facilities UPS,Server,5.4,End-of-Life,10501,12,11,68.66049533457786,3607
2025-04-28,Library Firewall,Server,7.0,New,9211,12,10,87.23916140584438,8342
2025-07-08,Student Portal Application,UPS,2.7,End-of-Life,12591,7,2,54.27294373383272,2526
2025-07-30,Library Firewall,Phone,5.0,Active,14047,9,3,72.9206336291599,11208
2025-05-01,Library Firewall,Phone,2.9,Active,5963,8,0,45.58102699540503,19773
2025-06-02,Library Firewall,UPS,5.4,New,2543,11,8,46.980941267417855,2213
2025-08-25,Facilities UPS,Server,2.3,New,3617,12,5,75.90778671590596,18019
2025-08-07,Dell Server R740,UPS,0.6,End-of-Life,8532,7,0,49.39332495724167,14236
2025-08-04,Core Network Switch,Firewall,1.1,Active,3674,7,5,73.3770424130779,20093
2025-06-29,Dell Server R740,Controller,2.0,Maintenance,9119,6,7,76.82151247718184,8082
2025-06-30,Library Firewall,Server,7.5,Maintenance,10962,6,1,91.76009076497299,5911
2025-08-24,HVAC Controller,Phone,6.4,Maintenance,8942,12,6,78.04100591496254,2207
2025-07-09,Library Firewall,Switch,6.4,Maintenance,1014,12,8,53.19997404947486,6109
2025-03-11,Cisco IP Phone,Application,1.7,New,1766,7,2,93.79326279095656,21811
2025-08-19,Facilities UPS,Firewall,6.4,Maintenance,11027,8,11,72.76817754688156,9057
2025-07-27,Student Portal Application,UPS,4.6,Maintenance,11663,7,2,79.01141212156458,8236
