date,asset,security_incidents,vulnerability_score,compliance_score,security_training_completion,threat_level
2025-05-31,Student Portal,0,7.374187779196234,95.9690011318336,87.4926301524869,High
2025-03-29,ERP System,3,3.3383723692565415,97.22352379869919,89.7373074606013,High
2025-07-02,Cloud Servers,3,7.901403239081978,88.6353917453058,94.24309081994943,Low
2025-08-08,Campus WiFi,6,2.316591547157616,94.68815758325317,81.4482248608507,Low
2025-06-18,Core Network,0,2.8273116161360625,94.64267557135912,92.44358916274314,High
2025-03-21,Cloud Servers,2,4.104914656010093,90.07583715182733,90.14286314170545,Low
2025-05-28,Student Portal,0,7.0075457155716325,90.01668519340343,92.82231111841438,High
2025-06-17,Cloud Servers,6,2.8375932041588006,93.07061412580856,89.0470902965611,Low
2025-08-05,Student Portal,7,7.595329270515872,86.66101272038212,93.34373557503675,Low
2025-07-28,Core Network,1,2.1959543647069752,91.65834668550812,80.19370262506831,Medium
2025-04-27,Email Suite,1,3.9926586998487474,97.99342569713701,91.12155818724082,High
2025-07-05,Website,6,5.073802081322484,95.83000942423008,71.10100948471161,High
2025-05-19,ERP System,2,3.3888805754779296,94.53894218537889,93.50457978130207,Low
2025-07-02,Core Network,6,3.532018242579465,86.48224045498381,78.87244208716385,Low
2025-04-26,Cloud Servers,4,2.4206488378475415,90.5336304160362,74.54447168043404,High
2025-07-21,Cloud Servers,3,4.515097255412728,87.35485118073126,91.98325539196185,High
2025-03-02,Cloud Servers,7,5.0145637229982585,95.24080903584363,93.95295022298585,Low
2025-03-07,Campus WiFi,7,4.787679012853825,90.31463470232339,77.91466899771628,High
2025-03-29,Email Suite,5,5.187764110105592,94.48413299719613,80.71144759621988,Medium
2025-08-17,Cloud Servers,4,5.948329903167324,85.11282744678968,93.57937057403213,Low
2025-06-15,Website,4,7.4903643951033345,88.51636974567762,91.10530813215358,Medium
2025-06-03,Core Network,4,7.409498031722405,88.01286271626469,92.10887876139384,High
2025-05-05,Email Suite,2,6.2770759751657295,94.75373156011447,78.1086451923764,Low
2025-04-09,ERP System,4,7.143149942357532,96.48597548362628,81.01433820030769,Low
2025-07-27,Campus WiFi,2,4.726418926879717,95.92264975876193,94.94057055628464,High
2025-03-13,Core Network,1,2.722325472734534,98.13941696862382,74.52958197625208,High
2025-07-02,Campus WiFi,4,3.8432985021276256,92.65041958419374,80.4298354641144,Medium
2025-06-19,Campus WiFi,0,6.7832664354725765,95.1392556665673,87.26014304777681,Medium
2025-06-26,Campus WiFi,0,2.3143477735691675,87.23474862005034,78.39058182444779,Medium
2025-06-06,ERP System,2,6.980905897987508,98.27552152906111,77.61505889435476,Low
2025-07-03,Email Suite,3,2.215581093115838,97.9768288486355,75.34245353925822,Low
2025-03-17,ERP System,4,6.386944066729503,98.25458449243185,89.54038697990998,High
2025-08-21,Campus WiFi,7,6.186297845319758,90.09757885014699,84.15537539381542,Medium
2025-07-07,Email Suite,2,5.212207647089907,92.92500305027431,88.7863236114836,High
2025-06-18,Campus WiFi,5,3.1666858665901314,86.30474567387773,80.26239485151386,High
2025-03-16,Campus WiFi,4,3.9053274792170107,88.63143761040475,72.18978243514866,Medium
2025-04-04,Website,5,4.024725673785374,97.18963837640415,72.08812286700046,Medium
2025-05-09,Student Portal,3,4.955212284285736,91.18949848551608,78.36002947471871,High
2025-08-20,Website,2,3.2975031691191736,87.92023714837471,77.40980017188208,High
2025-03-28,Website,0,3.60904620646948,90.05504616877452,80.21138953521206,Medium
2025-06-07,Cloud Servers,4,4.025194795302913,96.23991692593765,76.16299764094957,Medium
2025-06-07,Cloud Servers,3,7.374139665599699,89.16202085993856,75.74984384908102,High
2025-04-06,Cloud Servers,3,6.034303059750222,96.564905583676,86.82730327278043,Medium
2025-05-20,Student Portal,3,5.938315156308604,92.4921326715249,72.05059213028677,Low
2025-04-12,Email Suite,4,7.955490772926581,87.1868211110284,94.71052484908702,High
2025-08-05,ERP System,0,5.042494544361601,93.93062624374146,94.62936387726687,Medium
2025-06-23,Email Suite,1,5.71263246224603,94.31511291786467,82.51777314591678,Medium
2025-08-13,Student Portal,6,6.134525922489378,96.52582497752041,83.90476731575029,High
2025-07-31,Campus WiFi,1,3.5215047019782153,91.59330082281521,82.3058078795602,Low
2025-04-15,Website,4,6.592180183148244,88.54236877288355,91.63905957930508,High
2025-07-31,ERP System,7,2.5596286806690194,98.49352425229863,73.37700365564402,High
2025-03-26,Core Network,5,5.618900720737682,94.5554544335281,84.38397932822747,Medium
2025-05-22,Cloud Servers,3,6.611487985479212,88.1678140200446,87.30885765386036,Low
2025-05-15,Core Network,5,3.312283333439235,85.83920621205831,73.27434357485436,Medium
2025-06-14,ERP System,0,7.981455311536132,87.56833361610322,84.85354656891144,Low
2025-05-14,Email Suite,0,5.736393693757,96.29460589304776,91.0503915376686,High
2025-04-28,Email Suite,0,6.037082800931269,95.13956338498787,82.31497513054535,Medium
