date,project,risk_category,risk_exposure_level,risk_heat_map,active_risks_count,severity_score,probability_score,mitigation_status,time_to_closure_days,mitigation_progress_pct,control_effectiveness_pct,residual_risk_level,incident_response_hrs,escalated_count,compliance_adherence_pct,financial_impact_estimate,kri_indicator
2025-05-29 16:08:17.716116,LMS Modernization,Strategic,5.590721905413213,Medium,7,9,0.6211913228236904,In Progress,9,41.34732641219685,76.16223545231715,1.677216571623964,9,2,95.91564277610857,18392,Resource Gap
2025-05-30 16:08:17.716116,Student Portal Upgrade,Security,0.7782975926396427,High,3,7,0.11118537037709181,Resolved,20,56.74858777835963,93.27494624990769,0.2334892777918928,6,0,85.2230346151828,147220,Quality Issue
2025-05-30 16:08:17.716116,Cybersecurity Enhancement,Security,5.482533785087283,Low,7,8,0.6853167231359104,In Progress,34,45.59159370221138,62.49223511394314,1.644760135526185,18,1,85.57924908418376,92745,Quality Issue
2025-05-30 16:08:17.716116,Cloud Migration,Security,5.619696370758489,Critical,3,7,0.8028137672512127,Resolved,28,13.335200675361348,64.65495054761237,1.6859089112275467,4,1,85.74711816375132,20376,Quality Issue
2025-05-30 16:08:17.716116,Network Infrastructure,Security,3.8311001249093963,Medium,1,5,0.7662200249818792,Resolved,49,9.39099648310301,83.07813155968225,1.1493300374728188,7,2,96.24629318045557,97529,Schedule Delay
2025-05-30 16:08:17.716116,LMS Modernization,Security,7.902104271550147,Medium,5,9,0.8780115857277941,In Progress,25,19.5422586638349,60.390410555914066,2.370631281465044,18,1,89.93616125335048,99825,Cost Overrun
2025-05-30 16:08:17.716116,Student Portal Upgrade,Compliance,3.241017967887996,High,7,4,0.810254491971999,In Progress,28,73.1353971777378,78.35572880652882,0.9723053903663987,1,2,90.46229228656908,45324,Schedule Delay
2025-05-30 16:08:17.716116,Cybersecurity Enhancement,Compliance,4.118873718916097,Low,0,7,0.5884105312737281,Resolved,13,77.61518641056229,77.02431846468804,1.235662115674829,19,0,87.9276192256001,7387,Cost Overrun
2025-05-30 16:08:17.716116,Cloud Migration,Compliance,1.3064274526379756,Critical,2,8,0.16330343157974694,In Progress,44,83.18880637567295,66.11448705783235,0.39192823579139263,21,0,88.92239355591428,9297,Schedule Delay
2025-05-30 16:08:17.716116,Network Infrastructure,Compliance,2.4842755385606576,Low,0,4,0.6210688846401644,In Progress,26,18.265161874377224,86.26833932438622,0.7452826615681972,21,0,95.6484315007218,65263,Cost Overrun
2025-05-30 16:08:17.716116,LMS Modernization,Compliance,4.4073370607207565,Critical,4,5,0.8814674121441514,Open,19,26.0517445435969,82.60266252282756,1.322201118216227,5,0,99.2246407064555,92681,Quality Issue
2025-05-30 16:08:17.716116,Student Portal Upgrade,Operational,4.469283326177715,Low,4,9,0.4965870362419683,Resolved,12,88.87464047516418,69.45007156732032,1.3407849978533144,15,2,97.09532921190385,108955,Cost Overrun
2025-05-30 16:08:17.716116,Cybersecurity Enhancement,Operational,1.0038444695682027,High,0,2,0.5019222347841014,Resolved,11,72.2433423022413,62.97652674571249,0.3011533408704608,14,0,85.13222249941708,14236,Schedule Delay
2025-05-30 16:08:17.716116,Cloud Migration,Operational,3.043599872111768,Low,4,6,0.5072666453519613,Open,40,13.0698253748313,66.06806048651279,0.9130799616335303,1,1,91.1273108332341,43502,Resource Gap
2025-05-30 16:08:17.716116,Network Infrastructure,Operational,0.8878055705068588,Medium,4,5,0.17756111410137176,In Progress,32,6.679707726217199,92.9820227684975,0.26634167115205765,7,2,86.3285226073762,59795,Quality Issue
2025-05-30 16:08:17.716116,LMS Modernization,Operational,3.1890207265350865,Critical,4,6,0.5315034544225145,Resolved,25,11.797899943702571,89.16233099185918,0.9567062179605259,22,2,93.66012587794555,116074,Quality Issue
2025-05-30 16:08:17.716116,Student Portal Upgrade,Financial,1.3067998505241019,Critical,1,5,0.26135997010482037,In Progress,4,5.521762675040565,93.41231296760195,0.39203995515723056,9,1,92.5934655413632,21442,Cost Overrun
2025-05-30 16:08:17.716116,Cybersecurity Enhancement,Financial,1.666422639598377,High,5,9,0.18515807106648632,Resolved,21,5.987462672138566,93.65833702638737,0.49992679187951305,18,1,96.94985102486714,20624,Quality Issue
2025-05-30 16:08:17.716116,Cloud Migration,Financial,5.683613912984549,Low,6,7,0.8119448447120784,In Progress,40,47.13681101729975,90.40198596786263,1.7050841738953646,19,0,86.93219610644482,128795,Resource Gap
2025-05-30 16:08:17.716116,Network Infrastructure,Financial,4.491197790048401,Medium,1,7,0.6415996842926287,Resolved,14,71.19529880655504,77.26352235767065,1.34735933701452,14,0,86.56709478723904,73868,Resource Gap
2025-05-30 16:08:17.716116,LMS Modernization,Financial,3.3349143196195987,Critical,3,5,0.6669828639239197,Resolved,19,60.610959985297306,93.23381029897782,1.0004742958858797,17,0,95.09376736430465,62033,Resource Gap
2025-05-30 16:08:17.716116,Student Portal Upgrade,Strategic,2.313267841030148,Medium,4,9,0.2570297601144609,In Progress,16,47.21978386181753,85.4433854056585,0.6939803523090443,17,2,89.213249096014,23953,Cost Overrun
2025-05-30 16:08:17.716116,Cybersecurity Enhancement,Strategic,1.4904755487956227,Low,3,5,0.29809510975912457,Resolved,6,96.19939098668226,62.84996910474274,0.4471426646386868,18,0,93.33760731525248,25773,Resource Gap
2025-05-30 16:08:17.716116,Cloud Migration,Strategic,2.043688549828255,Critical,2,4,0.5109221374570637,Resolved,4,23.44488488080395,85.60627805289835,0.6131065649484765,13,1,95.36002023158083,64314,Schedule Delay
2025-05-30 16:08:17.716116,Network Infrastructure,Strategic,4.718138004846181,Low,0,8,0.5897672506057726,Open,10,21.59382040201351,64.47488362680434,1.4154414014538543,19,2,93.83139195347515,57182,Resource Gap
2025-05-30 16:08:17.716116,LMS Modernization,Strategic,1.9832231666745739,Critical,4,4,0.49580579166864347,Open,44,64.75855888018073,92.529901075928,0.5949669500023721,11,2,85.08581397312948,64021,Resource Gap
2025-05-31 16:08:17.716116,Student Portal Upgrade,Security,2.6811054654176294,Medium,1,8,0.3351381831772037,Resolved,44,53.56147818743319,62.10771275558327,0.8043316396252888,18,1,91.9768539872167,133513,Schedule Delay
2025-05-31 16:08:17.716116,Cybersecurity Enhancement,Security,0.21611785918917034,Critical,4,2,0.10805892959458517,Open,35,92.320883587219,88.17539546786033,0.0648353577567511,3,2,88.83971138264496,114762,Resource Gap
2025-05-31 16:08:17.716116,Cloud Migration,Security,5.760934897463006,Critical,4,8,0.7201168621828757,Resolved,2,90.44253423171502,66.93364679843806,1.7282804692389018,10,0,94.33473034681397,33106,Quality Issue
2025-05-31 16:08:17.716116,Network Infrastructure,Security,1.6588372509419191,Medium,2,2,0.8294186254709596,Resolved,35,90.58764220962006,94.3589577077967,0.49765117528257574,20,0,98.12399986525973,92680,Quality Issue
2025-05-31 16:08:17.716116,LMS Modernization,Security,3.3095845701617073,Medium,1,5,0.6619169140323414,In Progress,18,39.478750917071395,86.04598490139867,0.9928753710485121,2,2,98.89237495788802,23909,Resource Gap
2025-05-31 16:08:17.716116,Student Portal Upgrade,Compliance,1.1230552565164023,High,3,2,0.5615276282582011,In Progress,22,39.07174422546241,93.12973450425602,0.33691657695492067,19,0,95.02541053176091,41855,Schedule Delay
2025-05-31 16:08:17.716116,Cybersecurity Enhancement,Compliance,1.4142836918336052,Medium,1,4,0.3535709229584013,In Progress,9,56.11197417877434,70.50789089866804,0.4242851075500816,8,2,85.64520946570083,31008,Cost Overrun
2025-05-31 16:08:17.716116,Cloud Migration,Compliance,3.770555594095133,High,7,6,0.6284259323491889,Open,15,48.026692566562744,90.46437899954051,1.13116667822854,8,2,96.29414331525456,103980,Quality Issue
2025-05-31 16:08:17.716116,Network Infrastructure,Compliance,3.8588755614563004,High,0,7,0.5512679373509001,Open,42,50.596556302000295,67.782355672361,1.15766266843689,11,2,87.10877246873345,6110,Quality Issue
2025-05-31 16:08:17.716116,LMS Modernization,Compliance,2.684725076383061,High,3,3,0.8949083587943536,In Progress,29,87.71586042661393,73.83389349191212,0.8054175229149183,7,1,97.90977831081426,149637,Resource Gap
2025-05-31 16:08:17.716116,Student Portal Upgrade,Operational,4.635584112129459,High,3,7,0.6622263017327799,Open,3,46.032698477783285,79.8263312092872,1.3906752336388377,1,2,92.03749072851097,54349,Quality Issue
2025-05-31 16:08:17.716116,Cybersecurity Enhancement,Operational,1.4742963780090301,Low,6,3,0.49143212600301,Resolved,45,41.79982597255372,62.997023075498745,0.44228891340270904,13,1,94.1275691945618,19507,Resource Gap
2025-05-31 16:08:17.716116,Cloud Migration,Operational,3.357256718415094,Critical,7,6,0.5595427864025156,Resolved,41,36.8374507584734,84.95598708011838,1.007177015524528,12,0,90.79623342745872,56534,Resource Gap
2025-05-31 16:08:17.716116,Network Infrastructure,Operational,5.711973334459566,Low,4,8,0.7139966668074458,Open,5,80.22888163636875,94.58712224544409,1.7135920003378697,10,1,93.99068833391652,53022,Resource Gap
2025-05-31 16:08:17.716116,LMS Modernization,Operational,1.9891186272396322,Low,6,5,0.39782372544792644,Resolved,17,27.196510777808257,85.22337536110489,0.5967355881718897,15,0,94.76788462226291,62396,Cost Overrun
2025-05-31 16:08:17.716116,Student Portal Upgrade,Financial,3.5520183478075866,High,0,7,0.507431192543941,Open,4,96.59937424083262,93.72423597867977,1.0656055043422759,2,1,96.92631190990389,107689,Resource Gap
2025-05-31 16:08:17.716116,Cybersecurity Enhancement,Financial,0.9572220458382221,Medium,4,3,0.3190740152794074,Resolved,44,15.59189359064559,75.46468305108499,0.2871666137514666,9,0,95.77662212103311,8107,Cost Overrun
2025-05-31 16:08:17.716116,Cloud Migration,Financial,5.724394634247016,High,3,8,0.715549329280877,Resolved,40,68.86273022949982,85.95812833167113,1.7173183902741047,12,0,92.05887723702675,110922,Quality Issue
2025-05-31 16:08:17.716116,Network Infrastructure,Financial,2.5991569286618392,Medium,7,3,0.8663856428872797,Open,4,27.25476478930291,90.62463232585475,0.7797470785985517,6,2,90.4326813633722,50538,Quality Issue
2025-05-31 16:08:17.716116,LMS Modernization,Financial,1.8217849469005571,Critical,1,3,0.6072616489668524,In Progress,33,51.94430175544321,76.33838171014203,0.5465354840701672,1,2,91.50433880352512,76979,Cost Overrun
2025-05-31 16:08:17.716116,Student Portal Upgrade,Strategic,6.740587492144605,Critical,7,8,0.8425734365180756,Open,37,11.482903172136949,93.47938885664979,2.0221762476433813,12,2,94.69378776485786,95546,Cost Overrun
2025-05-31 16:08:17.716116,Cybersecurity Enhancement,Strategic,3.8421420050726676,Low,3,5,0.7684284010145335,In Progress,14,85.1282212216531,87.14791223641117,1.1526426015218003,11,2,99.23463497447352,119693,Quality Issue
2025-05-31 16:08:17.716116,Cloud Migration,Strategic,1.8303561284525371,Medium,6,4,0.4575890321131343,In Progress,32,98.59743176855194,86.84543854932693,0.5491068385357611,23,0,88.06683072129096,16341,Cost Overrun
2025-05-31 16:08:17.716116,Network Infrastructure,Strategic,4.45625612158459,Medium,0,7,0.6366080173692271,Resolved,22,78.20900146236099,88.43036193982184,1.336876836475377,16,2,90.51748336481435,54777,Quality Issue
2025-05-31 16:08:17.716116,LMS Modernization,Strategic,4.272195242550481,Low,1,5,0.8544390485100961,Open,4,67.21050670137647,68.82683064997714,1.2816585727651442,15,1,97.5219773886991,114407,Schedule Delay
2025-06-01 16:08:17.716116,Student Portal Upgrade,Security,3.0400445715883517,Medium,6,8,0.38000557144854397,Open,21,6.4899217231724755,81.90765628970475,0.9120133714765055,15,0,95.77009315161472,134526,Resource Gap
2025-06-01 16:08:17.716116,Cybersecurity Enhancement,Security,1.5914073848776487,High,5,4,0.39785184621941216,Open,9,3.07865688607466,85.33309718206831,0.47742221546329455,9,0,93.53600497363135,92897,Resource Gap
2025-06-01 16:08:17.716116,Cloud Migration,Security,7.137227451210699,High,7,8,0.8921534314013374,In Progress,22,68.57030513889372,86.05451499124486,2.1411682353632098,12,2,88.10119968610358,5903,Cost Overrun
2025-06-01 16:08:17.716116,Network Infrastructure,Security,3.331409519979198,Low,2,6,0.5552349199965331,Open,24,94.11403351458402,67.95021810929312,0.9994228559937595,13,0,94.09686663315318,128989,Schedule Delay
2025-06-01 16:08:17.716116,LMS Modernization,Security,4.16189195029406,High,7,5,0.8323783900588121,Open,29,2.4809330042565803,73.43208756244684,1.248567585088218,21,1,94.91695880238575,118076,Resource Gap
2025-06-01 16:08:17.716116,Student Portal Upgrade,Compliance,2.3457844659161737,Low,0,7,0.3351120665594534,Open,40,93.18257230616197,70.00721545738712,0.7037353397748521,18,1,96.47271839829975,70285,Resource Gap
2025-06-01 16:08:17.716116,Cybersecurity Enhancement,Compliance,2.5353623115342057,Medium,4,8,0.3169202889417757,Resolved,38,26.70609402393602,75.40504722882778,0.7606086934602617,10,2,94.14540354061057,59812,Quality Issue
2025-06-01 16:08:17.716116,Cloud Migration,Compliance,0.37462709266333444,Low,6,3,0.12487569755444482,Resolved,22,46.249427401243814,69.7804847782563,0.11238812779900033,3,1,98.11377815026503,136583,Quality Issue
2025-06-01 16:08:17.716116,Network Infrastructure,Compliance,2.8769886718781708,Low,2,6,0.47949811197969516,In Progress,46,85.22142067229794,79.38208840030534,0.8630966015634512,15,0,98.45557774376027,40575,Quality Issue
2025-06-01 16:08:17.716116,LMS Modernization,Compliance,5.743676684303038,Low,0,7,0.8205252406147198,Open,32,82.91951410159383,73.99413607725718,1.7231030052909113,19,0,93.18789101529643,42690,Quality Issue
2025-06-01 16:08:17.716116,Student Portal Upgrade,Operational,3.2637140562069304,High,4,4,0.8159285140517326,In Progress,37,93.26819023605022,69.25725056716175,0.9791142168620791,15,0,86.34950918291442,130611,Quality Issue
2025-06-01 16:08:17.716116,Cybersecurity Enhancement,Operational,1.4771449510307322,Low,4,7,0.2110207072901046,Resolved,35,60.42395103321423,88.58608478154386,0.44314348530921965,18,1,87.21046603232367,60597,Resource Gap
2025-06-01 16:08:17.716116,Cloud Migration,Operational,3.6419136242766568,Critical,1,6,0.6069856040461095,In Progress,39,61.51265825503117,61.658950227590736,1.092574087282997,20,1,88.38369916241642,35932,Schedule Delay
2025-06-01 16:08:17.716116,Network Infrastructure,Operational,2.233205973182052,Medium,6,8,0.2791507466477565,Open,41,83.42778990554557,70.80772104302086,0.6699617919546156,22,0,90.214985061383,31957,Resource Gap
2025-06-01 16:08:17.716116,LMS Modernization,Operational,2.1551474743971983,Medium,2,4,0.5387868685992996,In Progress,20,29.55991249848785,93.07520240530386,0.6465442423191595,14,0,97.03677618222241,117350,Cost Overrun
2025-06-01 16:08:17.716116,Student Portal Upgrade,Financial,6.890113980415165,Critical,0,8,0.8612642475518957,In Progress,35,60.21018301273497,75.92361110875538,2.0670341941245494,21,2,99.20631320463333,20169,Cost Overrun
2025-06-01 16:08:17.716116,Cybersecurity Enhancement,Financial,0.22117004670978915,Critical,4,2,0.11058502335489458,Open,41,70.68728455434385,82.24674776562017,0.06635101401293675,3,0,97.55386494863939,32426,Cost Overrun
2025-06-01 16:08:17.716116,Cloud Migration,Financial,2.7352724394757035,Low,3,4,0.6838181098689259,In Progress,26,31.265631435521946,66.23815846190541,0.820581731842711,16,1,97.76203902474269,46291,Schedule Delay
2025-06-01 16:08:17.716116,Network Infrastructure,Financial,1.9791638839627161,High,2,4,0.49479097099067904,In Progress,9,17.73112535226449,90.19359246161612,0.5937491651888148,1,1,85.06560973424514,35399,Quality Issue
2025-06-01 16:08:17.716116,LMS Modernization,Financial,1.8687252545225497,Critical,3,3,0.6229084181741832,Resolved,15,78.2034269884919,93.8789305932089,0.5606175763567649,8,1,85.55771102411897,119921,Schedule Delay
2025-06-01 16:08:17.716116,Student Portal Upgrade,Strategic,2.827058391389205,Medium,2,4,0.7067645978473013,Resolved,35,72.90134212929686,74.6885302255044,0.8481175174167616,16,0,90.24227773462151,23383,Schedule Delay
2025-06-01 16:08:17.716116,Cybersecurity Enhancement,Strategic,2.2322980205782605,Critical,3,5,0.4464596041156521,Open,14,74.4303717337366,76.34385932073292,0.6696894061734782,20,1,87.99025193417029,74377,Quality Issue
2025-06-01 16:08:17.716116,Cloud Migration,Strategic,0.40446975591821366,Medium,2,1,0.40446975591821366,In Progress,1,48.14353459576055,61.55383427392645,0.1213409267754641,4,1,99.84838243359812,85382,Schedule Delay
2025-06-01 16:08:17.716116,Network Infrastructure,Strategic,1.773350021298992,Medium,6,3,0.5911166737663307,Open,22,63.412881086680294,64.4352584833437,0.5320050063896976,3,2,89.84221746570765,77812,Resource Gap
2025-06-01 16:08:17.716116,LMS Modernization,Strategic,7.88797810717273,Critical,1,9,0.8764420119080811,Open,6,5.3348994549860755,89.66509104265918,2.3663934321518187,5,2,93.71659367046844,13070,Cost Overrun
2025-06-02 16:08:17.716116,Student Portal Upgrade,Security,1.3502243070514304,Medium,3,4,0.3375560767628576,In Progress,24,82.27639354673701,83.64094663081377,0.4050672921154291,13,2,98.88316488793335,33514,Schedule Delay
2025-06-02 16:08:17.716116,Cybersecurity Enhancement,Security,1.565988800051381,Low,1,5,0.3131977600102762,Open,46,44.62622518098986,84.31761495095746,0.4697966400154143,23,0,93.84064558972176,110722,Resource Gap
2025-06-02 16:08:17.716116,Cloud Migration,Security,2.295919096255359,Critical,3,5,0.45918381925107177,Open,23,13.061076003613248,93.70338837513654,0.6887757288766077,1,1,98.30360086588264,103622,Schedule Delay
2025-06-02 16:08:17.716116,Network Infrastructure,Security,3.282322592396747,Critical,2,4,0.8205806480991867,In Progress,5,22.3897233305685,75.5370844316289,0.9846967777190241,3,0,91.2621183411725,77439,Quality Issue
2025-06-02 16:08:17.716116,LMS Modernization,Security,0.4788458856021771,Critical,6,2,0.23942294280108856,Resolved,9,39.95064752605643,94.50861057403725,0.14365376568065313,4,1,92.04712844324352,75366,Cost Overrun
2025-06-02 16:08:17.716116,Student Portal Upgrade,Compliance,2.181499602346129,Critical,0,4,0.5453749005865323,Open,28,67.20843906060631,61.12419146237351,0.6544498807038387,23,0,95.29558349158965,131031,Schedule Delay
2025-06-02 16:08:17.716116,Cybersecurity Enhancement,Compliance,1.0895423449138388,Low,0,4,0.2723855862284597,Resolved,13,22.29744880099821,74.2499484594569,0.32686270347415164,17,2,96.7533402496364,61332,Resource Gap
2025-06-02 16:08:17.716116,Cloud Migration,Compliance,0.5827340627778267,Critical,6,1,0.5827340627778267,In Progress,11,54.2204388719315,91.12149949443067,0.174820218833348,2,2,91.0135408386869,14388,Resource Gap
2025-06-02 16:08:17.716116,Network Infrastructure,Compliance,3.257895597627056,Low,1,5,0.6515791195254111,Open,48,13.662354309875212,72.16722804416705,0.9773686792881167,19,0,86.67456167981778,32967,Cost Overrun
2025-06-02 16:08:17.716116,LMS Modernization,Compliance,0.8980385773449929,Critical,3,1,0.8980385773449929,Resolved,36,87.96807046497939,72.43435263200668,0.26941157320349784,14,1,87.40590812509218,82734,Quality Issue
2025-06-02 16:08:17.716116,Student Portal Upgrade,Operational,4.050131455170621,Medium,6,7,0.5785902078815173,Resolved,29,74.0035944984177,81.96951447602589,1.215039436551186,7,2,87.11589699238445,29996,Cost Overrun
2025-06-02 16:08:17.716116,Cybersecurity Enhancement,Operational,2.6679088119954697,Critical,7,4,0.6669772029988674,Resolved,34,71.2542009132997,72.87660238501965,0.8003726435986409,8,2,97.57506730890078,125334,Resource Gap
2025-06-02 16:08:17.716116,Cloud Migration,Operational,0.2600533900940528,Medium,3,1,0.2600533900940528,In Progress,8,78.30986762501499,72.25366814995974,0.07801601702821584,19,1,90.2926617756025,31219,Schedule Delay
2025-06-02 16:08:17.716116,Network Infrastructure,Operational,4.026985974342381,Critical,6,7,0.5752837106203401,In Progress,25,12.151116953766616,88.35242578802297,1.2080957923027142,15,0,89.52394911168885,37664,Resource Gap
2025-06-02 16:08:17.716116,LMS Modernization,Operational,4.280202213578414,Medium,1,5,0.8560404427156828,Open,39,18.029013061564058,85.34475925914217,1.2840606640735241,13,1,96.41590575951214,140204,Schedule Delay
2025-06-02 16:08:17.716116,Student Portal Upgrade,Financial,2.4614017642226433,Critical,6,5,0.49228035284452865,Open,41,25.369682999581077,90.4418998804874,0.738420529266793,22,1,97.12547035265226,82865,Quality Issue
2025-06-02 16:08:17.716116,Cybersecurity Enhancement,Financial,0.49636735432235557,High,6,1,0.49636735432235557,Open,46,27.607513606941037,75.52759763112175,0.14891020629670668,19,2,85.55166689099634,21312,Cost Overrun
2025-06-02 16:08:17.716116,Cloud Migration,Financial,1.115012141225776,Medium,5,2,0.557506070612888,Resolved,28,50.16298089230942,60.81504778049037,0.33450364236773283,7,2,96.09798699314376,45430,Quality Issue
2025-06-02 16:08:17.716116,Network Infrastructure,Financial,1.4723515521182207,Low,3,4,0.36808788802955517,Resolved,24,52.8352122551236,93.65136106678534,0.4417054656354662,22,2,89.41482616346853,9799,Resource Gap
2025-06-02 16:08:17.716116,LMS Modernization,Financial,0.4417456761686174,Medium,6,2,0.2208728380843087,In Progress,16,12.924769398922608,71.14103200471718,0.1325237028505852,2,2,90.66318134493336,49104,Cost Overrun
2025-06-02 16:08:17.716116,Student Portal Upgrade,Strategic,0.7010402106375214,High,5,3,0.23368007021250714,Open,35,90.35593036972818,68.36453057144868,0.21031206319125642,5,1,99.54731177861561,71775,Quality Issue
2025-06-02 16:08:17.716116,Cybersecurity Enhancement,Strategic,0.7799421929743648,Medium,7,6,0.12999036549572748,Resolved,23,55.17792837256954,69.59189726003417,0.23398265789230943,4,2,94.02776983926707,77652,Schedule Delay
2025-06-02 16:08:17.716116,Cloud Migration,Strategic,2.2514553391871654,Low,3,7,0.3216364770267379,In Progress,8,91.07518127381472,85.0486768042902,0.6754366017561496,11,1,89.79472041381437,29956,Cost Overrun
2025-06-02 16:08:17.716116,Network Infrastructure,Strategic,5.390106820540303,Low,1,9,0.5989007578378114,Open,1,98.6180311608695,88.73932691412035,1.6170320461620908,11,1,89.0434253987869,50678,Quality Issue
2025-06-02 16:08:17.716116,LMS Modernization,Strategic,3.647833256845531,Low,3,7,0.5211190366922187,In Progress,10,38.12657190890473,77.5328542112463,1.0943499770536593,16,1,96.43162700046156,124006,Cost Overrun
2025-06-03 16:08:17.716116,Student Portal Upgrade,Security,3.755303600394817,Critical,3,5,0.7510607200789634,Resolved,21,89.18048860851022,91.98286907993202,1.126591080118445,14,0,85.65392382688891,11563,Resource Gap
