Application,Metric,Description,Example
Canvas LMS,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),False
Zoom,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),True
Blackboard,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),True
Cisco WebEx,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),True
Google Workspace,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),True
Slack,Duplicate Functionality Detected,Key overlapping processes flagged (True/False),False
Office 365,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$40,349"
Canvas LMS,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$30,238"
Zoom,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$49,570"
Blackboard,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$139,559"
Cisco WebEx,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$59,435"
Google Workspace,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$36,092"
Slack,Annual Downtime Loss ($),Dollar cost of lost productivity from outages,"$49,809"
Office 365,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$16,173"
Canvas LMS,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$90,008"
Zoom,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$46,697"
Blackboard,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$93,509"
Cisco WebEx,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$93,792"
Google Workspace,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$47,225"
Slack,Compliance/Regulatory Cost,"Additional cost for audit, security, compliance","$51,165"
Office 365,Switching/Exit Cost,Estimated cost to transition away from application/service,"$88,465"
Canvas LMS,Switching/Exit Cost,Estimated cost to transition away from application/service,"$51,193"
Zoom,Switching/Exit Cost,Estimated cost to transition away from application/service,"$83,812"
Blackboard,Switching/Exit Cost,Estimated cost to transition away from application/service,"$47,975"
Cisco WebEx,Switching/Exit Cost,Estimated cost to transition away from application/service,"$134,397"
Google Workspace,Switching/Exit Cost,Estimated cost to transition away from application/service,"$12,688"
Slack,Switching/Exit Cost,Estimated cost to transition away from application/service,"$84,449"
Office 365,ROI vs Peer Systems,Relative ROI compared to comparable platforms,0.8
Canvas LMS,ROI vs Peer Systems,Relative ROI compared to comparable platforms,1.21
Zoom,ROI vs Peer Systems,Relative ROI compared to comparable platforms,0.85
Blackboard,ROI vs Peer Systems,Relative ROI compared to comparable platforms,0.72
Cisco WebEx,ROI vs Peer Systems,Relative ROI compared to comparable platforms,1.14
Google Workspace,ROI vs Peer Systems,Relative ROI compared to comparable platforms,1.37
Slack,ROI vs Peer Systems,Relative ROI compared to comparable platforms,1.33
Office 365,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,False
Canvas LMS,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,True
Zoom,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,True
Blackboard,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,True
Cisco WebEx,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,True
Google Workspace,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,True
Slack,Risk Exposure for Redundancy,Score detailing risk if redundant system not addressed,False
