Initiative,Metric,Description,Example
AI Tutoring,Accessibility Rating,Extent of ADA/accessibility compliance (1-5 scale),4.3
LMS Modernization,Accessibility Rating,Extent of ADA/accessibility compliance (1-5 scale),4.8
Mobile App Development,Accessibility Rating,Extent of ADA/accessibility compliance (1-5 scale),3.2
Library Digital Access,Accessibility Rating,Extent of ADA/accessibility compliance (1-5 scale),4.4
Student Portal Upgrade,Holistic Support Integration,Quality of wraparound/holistic support services enabled (1-10 scale),4.5
AI Tutoring,Holistic Support Integration,Quality of wraparound/holistic support services enabled (1-10 scale),4.8
LMS Modernization,Holistic Support Integration,Quality of wraparound/holistic support services enabled (1-10 scale),3.5
Mobile App Development,Holistic Support Integration,Quality of wraparound/holistic support services enabled (1-10 scale),5.0
Library Digital Access,Holistic Support Integration,Quality of wraparound/holistic support services enabled (1-10 scale),3.6
Student Portal Upgrade,Cost per Student Benefited,Operational cost divided by impacted student count ($),$193
AI Tutoring,Cost per Student Benefited,Operational cost divided by impacted student count ($),$117
LMS Modernization,Cost per Student Benefited,Operational cost divided by impacted student count ($),$36
Mobile App Development,Cost per Student Benefited,Operational cost divided by impacted student count ($),$188
Library Digital Access,Cost per Student Benefited,Operational cost divided by impacted student count ($),$117
