field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
overdue_milestones,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[5, 4, 2]",,
change_requests_pending,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[5, 3, 9]",,
benefits_realization_pct,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[81.33586739148694, 84.93615425357709, 81.5885774086796]",,
innovation_projects_pct,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[34.19184295218468, 18.073682716144937, 21.05358420757509]",,
project_id,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['PQC-001', 'PQC-002', 'PQC-003']",,
project_name,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['Student Portal Upgrade', 'Cloud Migration Phase 1', 'Cybersecurity Enhancement']",,
status,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['Completed', 'Completed', 'Completed']",,
total_budget,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[250000, 450000, 300000]",,
spent_to_date,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[250000.0, 450000.0, 300000.0]",,
start_date,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-01-15', '2023-09-01', '2024-02-01']",,
target_end_date,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
current_end_date,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
duration_days,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[228, 196, 334]",,
elapsed_days,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[228, 196, 334]",,
timeline_completion_pct,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[100, 100, 100]",,
budget_variance_pct,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[0.0, 0.0, 0.0]",,
budget_status,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['On Track', 'On Track', 'On Track']",,
schedule_status,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['On Track', 'On Track', 'On Track']",,
health_score,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[8.816734307889973, 8.687021504122962, 8.453231076505833]",,
team_size,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[10, 3, 9]",,
deliverables_completed,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[7, 2, 0]",,
deliverables_total,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[7, 9, 12]",,
last_updated,Budget Analysis,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2025-08-28 02:00:46.662469', '2025-08-28 02:00:46.662999', '2025-08-28 02:00:46.663512']",,
project_id,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['PQC-001', 'PQC-001', 'PQC-001']",,
project_name,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Student Portal Upgrade', 'Student Portal Upgrade', 'Student Portal Upgrade']",,
raid_id,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['PQC-001-R-001', 'PQC-001-R-002', 'PQC-001-D-003']",,
type,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Risk', 'Risk', 'Decision']",,
title,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Risk 1 for Student Portal Upgrade', 'Risk 2 for Student Portal Upgrade', 'Decision 3 for Student Portal Upgrade']",,
description,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Sample risk description', 'Sample risk description', 'Sample decision description']",,
severity,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Low', 'Low', 'Low']",,
status,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['In Progress', 'Resolved', 'In Progress']",,
owner,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['David Thompson', 'Carol Kim', 'Alice Chen']",,
date_identified,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['2024-07-20', '2024-06-24', '2024-06-05']",,
target_date,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['2025-09-21 02:00:46.772305', '2025-10-03 02:00:46.772893', '2025-09-23 02:00:46.773304']",,
actual_resolution_date,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['2025-08-22 02:00:46.772899', '2025-07-10 02:00:46.775013', '2025-07-02 02:00:46.776017']",,
days_open,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"[50, 39, 8]",,
impact_score,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"[1, 3, 4]",,
probability_score,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"[3.0, 3.0, 3.0]",,
mitigation_plan,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Sample mitigation plan', 'Sample mitigation plan', 'Sample mitigation plan']",,
category,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"['Technical', 'Resource', 'Resource']",,
escalated,General,CSV Column,src\metrics\pm\raid_log_metrics.csv,"[False, False, False]",,
project_id,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['PQC-001', 'PQC-001', 'PQC-001']",,
project_name,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Student Portal Upgrade', 'Student Portal Upgrade', 'Student Portal Upgrade']",,
requirement_id,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['PQC-001-REQ-001', 'PQC-001-REQ-002', 'PQC-001-REQ-003']",,
requirement_name,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Requirement 1', 'Requirement 2', 'Requirement 3']",,
requirement_type,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Technical', 'Non-Functional', 'Functional']",,
priority,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Medium', 'Medium', 'High']",,
status,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Testing', 'Approved', 'Testing']",,
source,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Business User', 'Business User', 'Business User']",,
owner,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Carol Kim', 'Bob Rodriguez', 'David Thompson']",,
completion_pct,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"[60.44173792778172, 45.653457048291024, 35.2568856334169]",,
test_coverage_pct,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"[48.58569821715058, 19.659639349515025, 27.430313234222613]",,
date_identified,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['2024-02-12', '2024-02-03', '2024-01-20']",,
target_completion,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['2024-06-26', '2024-07-02', '2024-07-24']",,
effort_estimate_hours,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"[20, 69, 34]",,
actual_effort_hours,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"[75, 79, 141]",,
complexity_score,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"[3, 7, 5]",,
risk_level,General,CSV Column,src\metrics\pm\requirements_traceability_matrix.csv,"['Low', 'High', 'Medium']",,
project_id,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['PQC-001', 'PQC-001', 'PQC-001']",,
project_name,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['Student Portal Upgrade', 'Student Portal Upgrade', 'Student Portal Upgrade']",,
resource_id,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['RES-001', 'RES-002', 'RES-003']",,
resource_name,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['Team Member 1', 'Team Member 2', 'Team Member 3']",,
role,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['QA Tester', 'Designer', 'Business Analyst']",,
allocation_pct,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[78.03148579500237, 68.74431193420867, 86.6073993731945]",,
hourly_rate,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[78.76695085979803, 138.1673059757961, 116.59930110263215]",,
total_allocated_hours,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[151.03128475753246, 484.28631460914926, 545.9635859566336]",,
hours_consumed,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[271.5803054479504, 170.60067905813165, 339.4531531860115]",,
utilization_pct,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[77.38226235119858, 70.84172945534682, 81.57931791878354]",,
cost_to_date,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[22428.824229203587, 21097.10549441021, 22599.0081331887]",,
efficiency_score,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[7.702511247271784, 8.04030357017773, 7.757985148652615]",,
skill_match_score,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[9.508706858242212, 9.399028571749492, 8.224925297359022]",,
availability_pct,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"[98.58456107263709, 83.75685705075549, 91.26577861907629]",,
start_date,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['2024-02-13', '2024-02-06', '2024-01-18']",,
end_date,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['2024-08-08', '2024-08-08', '2024-08-18']",,
department,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['External Contractor', 'Business', 'External Contractor']",,
certification_level,General,CSV Column,src\metrics\pm\resource_allocation_metrics.csv,"['Mid-Level', 'Mid-Level', 'Senior']",,
date,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['2025-03-02 02:00:46.637944', '2025-03-02 02:00:46.637944', '2025-03-02 02:00:46.637944']",,
project_id,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['PQC-001', 'PQC-001', 'PQC-002']",,
project_name,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['Student Portal Upgrade', 'Student Portal Upgrade', 'Cloud Migration Phase 1']",,
communication_id,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['PQC-001-COMM-98d237', 'PQC-001-COMM-adbd04', 'PQC-002-COMM-e76143']",,
stakeholder_type,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['Executive Sponsor', 'Vendor', 'Vendor']",,
communication_type,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['Email Update', 'Status Report', 'Presentation']",,
frequency,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['Bi-weekly', 'Bi-weekly', 'Bi-weekly']",,
attendance_pct,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[70.2023509323303, 87.55854593633165, 88.86601330714527]",,
engagement_score,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[8.697598858169432, 7.590208980736793, 7.023340886442676]",,
satisfaction_score,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[7.854991300713518, 8.260494438912316, 7.887838909012755]",,
action_items_generated,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[4, 2, 0]",,
issues_escalated,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[1, 2, 0]",,
feedback_received,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[False, False, True]",,
delivery_method,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"['Email', 'Virtual', 'Dashboard']",,
response_time_hours,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[14.3672616615809, 24.973861413874427, 20.751111467064163]",,
follow_up_required,General,CSV Column,src\metrics\pm\stakeholder_communication_metrics.csv,"[True, False, False]",,
