field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
monthly_cloud_spend,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[11705, 25650, 2029]",,
resource_utilization_pct,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[87.90413201172026, 56.54833390539267, 52.78682971483998]",,
cost_optimization_savings,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[6006, 5208, 8538]",,
wasted_spend_identified,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[2591, 3604, 3711]",,
optimization_opportunity,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[2.0587958934339268, 7.526669932246516, 1.1134676797818313]",,
potential_savings,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"[15649, 1783, 10252]",,
Infrastructure,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['Network', 'WiFi', 'Campus Servers']",,
Metric,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['System Uptime (%)', 'System Uptime (%)', 'System Uptime (%)']",,
Description,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['Percent of time system/network is available and operational', 'Percent of time system/network is available and operational', 'Percent of time system/network is available and operational']",,
Example,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['92.02%', '99.76%', '97.55%']",,
Infrastructure,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['Network', 'WiFi', 'Campus Servers']",,
Metric,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['System Uptime (%)', 'System Uptime (%)', 'System Uptime (%)']",,
Description,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['Percent of time system/network is available and operational', 'Percent of time system/network is available and operational', 'Percent of time system/network is available and operational']",,
Example,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['92.02%', '99.76%', '97.55%']",,
date,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['2025-06-23', '2025-02-28', '2025-04-09']",,
system_name,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['VPN Gateway', 'WiFi', 'Network']",,
system_uptime_pct,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[97.81472940387926, 99.37800450490424, 96.1411851029078]",,
response_time_ms,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[140, 453, 242]",,
incidents_resolved,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[1, 3, 0]",,
performance_score,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[8.626524294831505, 6.110076740561661, 6.592711712919781]",,
incident_severity,Infrastructure Performance,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['Medium', 'High', 'Critical']",,
date,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"['2025-06-03', '2025-08-18', '2025-04-25']",,
asset,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"['Cloud Servers', 'Website', 'Campus WiFi']",,
security_incidents,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"[4, 5, 1]",,
vulnerability_score,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"[4.870976697535771, 7.252433750731006, 3.691514257428375]",,
compliance_score,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"[95.927784376421, 91.1844508829279, 90.09333497597306]",,
security_training_completion,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"[77.590598453596, 94.60586248086084, 74.76814968977237]",,
threat_level,Security & Compliance,CSV Column,src\metrics\cto\security_metrics.csv,"['High', 'Medium', 'Low']",,
Asset,Security & Compliance,CSV Column,src\metrics\cto\security_metrics_dashboard_examples.csv,"['Core Network', 'Email Suite', 'ERP System']",,
Metric,Security & Compliance,CSV Column,src\metrics\cto\security_metrics_dashboard_examples.csv,"['Asset/System', 'Asset/System', 'Asset/System']",,
Description,Security & Compliance,CSV Column,src\metrics\cto\security_metrics_dashboard_examples.csv,"['System, application, or device being tracked', 'System, application, or device being tracked', 'System, application, or device being tracked']",,
Example,Security & Compliance,CSV Column,src\metrics\cto\security_metrics_dashboard_examples.csv,"['8', '21', '12']",,
System,General,CSV Column,src\metrics\cto\system_utilization_dashboard_examples.csv,"['Office 365', 'Canvas LMS', 'Zoom']",,
Metric,General,CSV Column,src\metrics\cto\system_utilization_dashboard_examples.csv,"['Total Licensed Seats', 'Total Licensed Seats', 'Total Licensed Seats']",,
Description,General,CSV Column,src\metrics\cto\system_utilization_dashboard_examples.csv,"['Number of paid licenses/seats provisioned for system', 'Number of paid licenses/seats provisioned for system', 'Number of paid licenses/seats provisioned for system']",,
Example,General,CSV Column,src\metrics\cto\system_utilization_dashboard_examples.csv,"['652', '319', '366']",,
date,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"['2025-08-05', '2025-03-23', '2025-05-14']",,
system_name,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"['Network', 'VPN Gateway', 'Firewall']",,
cpu_utilization_pct,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"[82.744677035976, 24.51061558377192, 29.313294815671668]",,
memory_utilization_pct,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"[33.025006416132555, 35.39261110416964, 72.88313001012216]",,
storage_utilization_pct,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"[88.97113764703963, 73.05016031124973, 56.13443817925554]",,
network_utilization_pct,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"[49.61287207867251, 35.4575142861335, 46.52821844135359]",,
performance_score,General,CSV Column,src\metrics\cto\system_utilization_metrics.csv,"[8.255678267022494, 9.669072266310724, 8.791331142020681]",,
Component,General,CSV Column,src\metrics\cto\technical_debt_dashboard_examples.csv,"['Student Portal', 'Network Core', 'Old ERP System']",,
Metric,General,CSV Column,src\metrics\cto\technical_debt_dashboard_examples.csv,"['Asset/Component', 'Asset/Component', 'Asset/Component']",,
Description,General,CSV Column,src\metrics\cto\technical_debt_dashboard_examples.csv,"['System/component with technical debt', 'System/component with technical debt', 'System/component with technical debt']",,
Example,General,CSV Column,src\metrics\cto\technical_debt_dashboard_examples.csv,"['9.3', '7.2', '8.0']",,
date,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"['2025-08-21', '2025-06-01', '2025-04-21']",,
system_name,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"['Database Server', 'Old Website', 'Student Information System']",,
technical_debt_score,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"[7.20519418346328, 4.208783526321198, 5.913805790480042]",,
legacy_systems_count,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"[4, 11, 9]",,
maintenance_cost_annual,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"[32689, 73416, 54156]",,
modernization_priority,General,CSV Column,src\metrics\cto\technical_debt_metrics.csv,"['High', 'Medium', 'Medium']",,
Component,General,CSV Column,src\metrics\cto\tech_stack_health_dashboard_examples.csv,"['PostgreSQL DB', 'Docker Platform', 'Nginx Web Proxy']",,
Metric,General,CSV Column,src\metrics\cto\tech_stack_health_dashboard_examples.csv,"['Stack Component', 'Stack Component', 'Stack Component']",,
Description,General,CSV Column,src\metrics\cto\tech_stack_health_dashboard_examples.csv,"['Name of core technology / platform', 'Name of core technology / platform', 'Name of core technology / platform']",,
Example,General,CSV Column,src\metrics\cto\tech_stack_health_dashboard_examples.csv,"['v11.3.9', 'v4.5.7', 'v13.3.5']",,
