field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
date,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
business_unit,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"['Academic Affairs', 'Student Affairs', 'IT Operations']",,
daily_budget,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[410.958904109589, 219.1780821917808, 547.945205479452]",,
daily_spend,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[374.4026294657234, 212.94127476241576, 587.5401537071591]",,
monthly_budget,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[12328.767123287673, 6575.342465753424, 16438.35616438356]",,
monthly_spend,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[11232.078883971702, 6388.238242872473, 17626.204611214773]",,
operational_spend,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[262.0818406260064, 149.05889233369103, 411.27810759501136]",,
project_spend,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[112.32078883971704, 63.882382428724725, 176.26204611214771]",,
budget_variance_pct,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[-8.895360163340632, -2.845543389647808, 7.226078051556536]",,
fte_count,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[13, 45, 72]",,
spend_per_fte,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[864.0060679978233, 141.96084984161052, 244.8083973779829]",,
growth_rate,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[13.370432055410358, 7.5774579397635105, 8.071735400888398]",,
innovation_allocation_pct,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[5.93985002006235, 17.80761493288482, 10.47977563086036]",,
cost_efficiency_index,General,CSV Column,src\metrics\cio\business_unit_it_spend.csv,"[0.7355252086419393, 0.9402016913314388, 0.8372224759869431]",,
Business_Unit,General,CSV Column,src\metrics\cio\business_unit_it_spend_examples_backup.csv,"['Academic Affairs', 'Student Affairs', 'IT Operations']",,
Metric,General,CSV Column,src\metrics\cio\business_unit_it_spend_examples_backup.csv,"['Total IT Spend', 'Total IT Spend', 'Total IT Spend']",,
Description,General,CSV Column,src\metrics\cio\business_unit_it_spend_examples_backup.csv,"['Total annual IT expenditures by business unit', 'Total annual IT expenditures by business unit', 'Total annual IT expenditures by business unit']",,
Example,General,CSV Column,src\metrics\cio\business_unit_it_spend_examples_backup.csv,"['$794,876', '$718,877', '$728,095']",,
date,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-30 16:08:17.716116', '2025-05-31 16:08:17.716116']",,
rgt_run_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[68.297470523588, 63.98718264689789, 62.38946656010301]",,
rgt_grow_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[27.406091686646505, 27.048568853396954, 25.414239577171617]",,
rgt_transform_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[7.787582987980773, 9.521822046287076, 8.132310615841696]",,
portfolio_drift,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[12.915979222253736, 8.539564160211986, 9.892462401226911]",,
portfolio_balance_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[8.708402077774627, 9.146043583978802, 9.010753759877309]",,
cost_per_fte_run,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[1165.5424975945562, 1017.1488650430562, 1093.8391990456066]",,
cost_per_fte_grow,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[1160.2187722781057, 1026.7980790969464, 1258.039820903484]",,
cost_per_fte_transform,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[1624.817157771539, 1744.2184714343653, 1386.369634062658]",,
roi_run,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[9.688117370645523, 12.954727079476056, 5.417190240121736]",,
roi_grow,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[16.087631674567685, 24.71413661030889, 24.51497355523487]",,
roi_transform,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[31.40418317250373, 32.54917106562753, 23.55244065252651]",,
budget_variance_run,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[0.3874346075357451, -3.749604091625547, -4.017891269634695]",,
budget_variance_grow,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[12.519250839055315, 1.6980815208114706, 4.283556289058762]",,
budget_variance_transform,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[13.417968369847287, 3.674955172869616, -2.854836527895472]",,
total_tco,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[2778273.324288853, 2556785.790270381, 2923468.3796721976]",,
strategic_alignment_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[70.75987404876855, 71.25118960123136, 69.25645418721356]",,
business_capability_coverage,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[71.15028783715056, 74.73917172785637, 74.67656662851194]",,
innovation_index,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[6.928147552550633, 6.906235136613022, 7.2460877226193245]",,
portfolio_risk_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[6.729447069430436, 6.534054101157624, 7.336251497546172]",,
technical_debt_run,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[22.31639496596116, 23.11187846756525, 10.380325462536236]",,
technical_debt_grow,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[6.530041949988972, 11.449905930396197, 7.692478869214399]",,
technical_debt_transform,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[5.277449669638371, 4.808828265766156, 3.166194960210266]",,
compliance_gap_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[13.728857966047622, 15.874972776248825, 14.196451364552146]",,
time_to_value_run_months,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[5.9093210943246985, 4.62167610187859, 3.705693532826995]",,
time_to_value_grow_months,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[10.950740718910932, 7.98857407963636, 11.920999618209525]",,
time_to_value_transform_months,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[15.200202640087294, 23.686988018154224, 20.425331826540287]",,
success_rate_run,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[89.54931881405817, 90.31813063488732, 90.64190189395129]",,
success_rate_grow,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[78.8792788108603, 79.61671002165929, 82.98362263743813]",,
success_rate_transform,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[64.04610135978045, 68.69825803644736, 63.47082516277312]",,
benefits_realization_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[73.76699267032964, 72.20479809108971, 67.5054468325218]",,
business_impact_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[6.688952604690018, 6.978373244580225, 6.993006382544698]",,
stakeholder_satisfaction,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[3.447958447625916, 3.524603781530117, 3.677985402741027]",,
digital_transformation_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[63.68886390043251, 67.20909406967041, 65.1955934080764]",,
digital_maturity_level,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"['Established', 'Leading', 'Basic']",,
online_learning_adoption_pct,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[35.65078199724324, 42.608639661278914, 37.762330718056894]",,
digital_engagement_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[72.00335320634888, 70.34832279786326, 70.36522799071321]",,
vendor_satisfaction_avg,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[3.633104782873103, 3.89325303786216, 3.852786176329999]",,
cost_optimization_savings,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[88679.17069363187, 156652.98462987092, 151018.36705550982]",,
compliance_score,General,CSV Column,src\metrics\cio\cio_comprehensive_metrics.csv,"[86.12373833853417, 84.77892509988479, 85.59852473524931]",,
Initiative,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Online BA in Psychology', 'Hybrid MBA', 'Virtual STEM Labs']",,
Metric,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Digital Transformation Maturity', 'Digital Transformation Maturity', 'Digital Transformation Maturity']",,
Description,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Stage of transformation: Ad hoc, Basic, Established, Leading', 'Stage of transformation: Ad hoc, Basic, Established, Leading', 'Stage of transformation: Ad hoc, Basic, Established, Leading']",,
Example,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Established', 'Leading', 'Ad hoc']",,
date,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-30 16:08:17.716116', '2025-05-31 16:08:17.716116']",,
metric_type,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['overall', 'overall', 'overall']",,
initiative,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['All', 'All', 'All']",,
digital_maturity,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['Leading', 'Established', 'Established']",,
transformation_score,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[64.59959749139927, 65.16371569888153, 63.601938396878936]",,
online_adoption_rate,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[44.19768385021348, 42.10065212543952, 39.50004896615343]",,
student_participation_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[63.0782846916213, 59.977483157517575, 61.136137633305005]",,
faculty_participation_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[58.14479642054066, 53.27325839881156, 59.09155486304253]",,
platform_utilization_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[49.15362266919826, 53.19867512418477, 49.20447737894587]",,
digital_literacy_students,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3.123070290498447, 3.008120947528592, 3.0725254310114374]",,
digital_literacy_faculty,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[2.705104717223132, 2.865381209652692, 2.663583841715421]",,
accessibility_compliance_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[84.09309712527794, 84.98876686933035, 86.28006886066754]",,
online_completion_rate,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[70.29908829475127, 76.05550689596181, 71.82037111388235]",,
satisfaction_score,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3.667286820189853, 3.509539737923236, 3.601816669188165]",,
support_ticket_resolution_hrs,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[22.272040301847845, 23.65006513098575, 23.508479763766065]",,
virtual_engagement_rate,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[44.62040226075882, 45.41963911610289, 45.297381831121285]",,
remote_enablement_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[68.17935131614344, 76.14151960070632, 69.83903100372278]",,
innovation_milestones,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3, 3, 1]",,
digital_budget_allocation_pct,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[15.69516524833014, 15.912297095872049, 13.91852759538812]",,
digital_credentials_volume,Digital Transformation,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[143, 236, 499]",,
Project_ID,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['PQC-001', 'PQC-002', 'PQC-003']",,
Project_Name,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Student Portal Upgrade', 'Cloud Migration Phase 1', 'Cybersecurity Enhancement']",,
Status,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['In Progress', 'Completed', 'In Progress']",,
Total_Budget,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[250000, 450000, 300000]",,
Spent_to_Date,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[175000, 445000, 125000]",,
Start_Date,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['2024-01-15', '2023-09-01', '2024-02-01']",,
End_Date,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
Duration_days,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[228, 196, 334]",,
Elapsed_days,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[590, 726, 573]",,
Timeline_Completion_%,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[100.0, 100.0, 100.0]",,
Budget_Variance_%,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[-30.0, -1.1, -58.3]",,
Budget_Status,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Under Budget', 'On Track', 'Under Budget']",,
Time_Status,Budget Analysis,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Unknown', 'On Track', 'Unknown']",,
Metric_Category,General,CSV Column,src\metrics\cio\rgt_comprehensive_framework.csv,"['Portfolio Balance', 'Portfolio Balance', 'Portfolio Balance']",,
Specific_Metric,General,CSV Column,src\metrics\cio\rgt_comprehensive_framework.csv,"['RGT Spend Distribution %', 'RGT Portfolio Drift', 'RGT Balance Score']",,
Calculation_Formula,General,CSV Column,src\metrics\cio\rgt_comprehensive_framework.csv,"['(Category Spend / Total IT Spend) * 100', '|Current % - Target %| for each category', 'Weighted score based on optimal balance targets']",,
Target_Benchmark,General,CSV Column,src\metrics\cio\rgt_comprehensive_framework.csv,"['Run: 65%, Grow: 25%, Transform: 15% (HBCU optimized)', '<5% deviation from target allocation', '>8.0/10.0 portfolio balance score']",,
Alert_Thresholds,General,CSV Column,src\metrics\cio\rgt_comprehensive_framework.csv,"['Run >80% or <50%, Transform <5% or >30%', '>10% deviation from target', '<6.0/10.0 balance score']",,
date,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"['2025-05-31 16:08:17.716116', '2025-05-31 16:08:17.716116', '2025-05-31 16:08:17.716116']",,
category,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"['RUN', 'GROW', 'TRANSFORM']",,
spend_percentage,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[75.4175324136116, 19.1225466047717, 5.459920981616694]",,
budget_allocated,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[2262525.972408348, 573676.398143151, 163797.6294485008]",,
project_count,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[12, 9, 2]",,
average_roi,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[9.677465584057188, 16.47438813737401, 32.9362368758914]",,
risk_score,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[2.723856921967404, 5.3798614025325, 6.400506444578689]",,
strategic_alignment,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[9.68800441242195, 8.909847076394124, 9.32776867112355]",,
success_rate,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[92.25972156855832, 91.65887443495518, 94.99632644459624]",,
time_to_value_months,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[18, 23, 9]",,
benefits_realized,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[218955.17231017316, 94509.67648260976, 53948.77523225308]",,
portfolio_balance_score,General,CSV Column,src\metrics\cio\rgt_portfolio_metrics.csv,"[7.916493517277681, 8.82450932095434, 8.091984196323338]",,
Project,Risk Management,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Student Portal Upgrade', 'Cybersecurity Enhancement', 'Cloud Migration']",,
Metric,Risk Management,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Risk Exposure Level', 'Risk Exposure Level', 'Risk Exposure Level']",,
Description,Risk Management,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Severity × Probability aggregate across all risks', 'Severity × Probability aggregate across all risks', 'Severity × Probability aggregate across all risks']",,
Example,Risk Management,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['7', '4', '8']",,
date,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
project,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['Student Portal Upgrade', 'Cybersecurity Enhancement', 'Cloud Migration']",,
risk_category,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['Security', 'Security', 'Security']",,
risk_exposure_level,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.8888013813363731, 5.3074000826846905, 0.9073605570800256]",,
risk_heat_map,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['Low', 'Medium', 'Critical']",,
active_risks_count,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[7, 5, 6]",,
severity_score,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[4, 7, 9]",,
probability_score,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.2222003453340932, 0.7582000118120986, 0.1008178396755584]",,
mitigation_status,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['Open', 'Resolved', 'Resolved']",,
time_to_closure_days,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[14, 32, 45]",,
mitigation_progress_pct,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[47.19373657552944, 34.36473084453985, 88.05483423389569]",,
control_effectiveness_pct,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[91.77617101444916, 65.39057138810281, 71.45376077670359]",,
residual_risk_level,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.2666404144009119, 1.592220024805407, 0.2722081671240077]",,
incident_response_hrs,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[14, 7, 10]",,
escalated_count,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[2, 2, 1]",,
compliance_adherence_pct,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[92.51102359216296, 94.2029182624536, 89.04265931827446]",,
financial_impact_estimate,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"[63282, 134453, 75453]",,
kri_indicator,Risk Management,CSV Column,src\metrics\cio\risk_metrics.csv,"['Resource Gap', 'Cost Overrun', 'Cost Overrun']",,
Initiative,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Student Portal Upgrade', 'AI Tutoring', 'LMS Modernization']",,
Metric,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Strategic Alignment Score', 'Strategic Alignment Score', 'Strategic Alignment Score']",,
Description,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Degree to which initiative aligns with institutional strategic priorities (1-10 scale)', 'Degree to which initiative aligns with institutional strategic priorities (1-10 scale)', 'Degree to which initiative aligns with institutional strategic priorities (1-10 scale)']",,
Example,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['7.7', '9.3', '8.9']",,
date,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
initiative,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"['Student Portal Upgrade', 'AI Tutoring', 'LMS Modernization']",,
alignment_score,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[8.260639056530048, 7.276792004101358, 7.685770313871921]",,
mission_relevance_rating,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.5221825760655685, 3.184274110579133, 3.154246816683393]",,
student_experience_impact,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.646788357078562, 6.58509492742214, 6.363313446968157]",,
underserved_benefit_index,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[0.68539663982967, 0.5997437056311611, 0.5566006186459588]",,
equity_advancement_score,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[6.428698650041154, 6.3475842451280045, 5.94965772186416]",,
learning_outcomes_improvement_pct,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.316048683672524, 3.601569851176797, 3.5812557792901085]",,
digital_inclusion_rating,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.177651185955952, 2.810217695886311, 2.9027666640361565]",,
retention_projection_pct,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[0.7708304425626715, 0.936121285183765, 1.6344088865512991]",,
community_engagement_level,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.187751558237404, 5.856833107959261, 5.516766739430997]",,
grant_funder_fit,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.701814932366871, 3.294020573469133, 3.2562214548226054]",,
stakeholder_support_level,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.5259270520253394, 3.613187492550599, 3.3688481592724258]",,
sustainability_factor,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[6.179736801495768, 6.282462562156503, 6.823010022460135]",,
accessibility_rating,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.816891820726529, 3.609762630415472, 3.963439617270572]",,
holistic_support_integration,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.450756272640189, 5.600378765088358, 7.557585493667398]",,
cost_per_student_benefited,Strategic Alignment,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[165.7759298518243, 161.09156212134292, 140.6835841424698]",,
Vendor,General,CSV Column,src\metrics\cio\vendor_dashboard_metrics_examples_backup.csv,"['Microsoft', 'Adobe', 'AWS']",,
Metric,General,CSV Column,src\metrics\cio\vendor_dashboard_metrics_examples_backup.csv,"['Vendor Satisfaction Score', 'Vendor Satisfaction Score', 'Vendor Satisfaction Score']",,
Description,General,CSV Column,src\metrics\cio\vendor_dashboard_metrics_examples_backup.csv,"['Average rating from end user, CIO, or stakeholder surveys (1-5 scale)', 'Average rating from end user, CIO, or stakeholder surveys (1-5 scale)', 'Average rating from end user, CIO, or stakeholder surveys (1-5 scale)']",,
Example,General,CSV Column,src\metrics\cio\vendor_dashboard_metrics_examples_backup.csv,"['3.3', '3.7', '4.4']",,
date,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
vendor,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"['Microsoft', 'AWS', 'Adobe']",,
daily_spend,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[1212.6796822200129, 890.2193471493681, 495.7963066290562]",,
annual_spend,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[450000, 320000, 180000]",,
satisfaction_score,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[3.66832138112967, 4.444368735765133, 4.762348707363184]",,
sla_compliance_pct,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[91.61700497379108, 96.52086682635446, 89.86036778045323]",,
contract_renewal_rate,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[77.28446192518177, 93.39437980043822, 83.08519880519927]",,
delivered_value_ratio,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[1.244674465116041, 0.9445825304938674, 1.0820702934434343]",,
incident_response_hrs,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[4.332052827130452, 5.645507725469166, 3.175570382698514]",,
issue_resolution_days,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[3.762941561074869, 2.970542670180275, 4.596872215927946]",,
penalty_occurrences,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[0, 2, 1]",,
dispute_count,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[0, 1, 0]",,
innovation_rating,General,CSV Column,src\metrics\cio\vendor_metrics.csv,"[3.5530966998798568, 3.0016292346175097, 4.066778567940822]",,
