field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
Corrective Actions (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[86, 100, 90]",,
Timely Report Filing (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[87, 95, 98]",,
Key Grant Deliverables On-Track,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Milestone 2/3', 'Behind', 'Milestone 2/3']",,
Grant Drawdown Schedule Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Ahead', 'On', 'On']",,
Disallowed/Questioned Costs ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[505, 2462, 3426]",,
Federal Financial Reporting Score,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[9.3, 9.12, 7.26]",,
Project Compliance Training Rate,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[89, 97, 91]",,
Indirect Cost Rate (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[14.28, 13.88, 9.88]",,
Document Request Response Time (days),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[7.8, 4.6, 7.9]",,
Risk of Fund Clawback,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Low', 'Low', 'Low']",,
Pending/Upcoming Reports,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2025-09-27: Final/Quarterly', '2024-04-28: Final/Quarterly', '2025-01-15: Final/Quarterly']",,
History of Extension Requests,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[1, 1, 0]",,
Grant Renewal Eligibility Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Not Eligible', 'Eligible', 'Not Eligible']",,
Percent Used for Direct Instruction/Student,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[95, 59, 61]",,
Funder Satisfaction/Survey Score,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[8.3, 9.2, 8.4]",,
Grant Program/Source,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Title III HBCU', 'NSF S-STEM', 'Gates Digital Equity']",,
Grant Code,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['PQC-T3-2023', 'PQC-NSF-2024', 'PQC-GATES-2025']",,
FY,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[2024, 2025, 2025]",,
Award Amount ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[1074724, 1694888, 404398]",,
Grant Period Start,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2023-07-20', '2022-10-11', '2023-05-23']",,
Grant Period End,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2025-07-05', '2024-03-01', '2024-12-01']",,
Permitted Spend Categories,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Instruction:30%, Tech:26%, Scholar:15%, Admin:4%, Other:25%', 'Instruction:31%, Tech:25%, Scholar:9%, Admin:4%, Other:31%', 'Instruction:56%, Tech:16%, Scholar:13%, Admin:11%, Other:4%']",,
Spend To Date ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[385639, 892643, 353883]",,
Unspent Balance ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[689085, 802245, 50515]",,
Compliance Rate (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[96.6, 95.66, 93.94]",,
Compliance Issues Flag,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Open', 'Closed']",,
Last Compliance Audit Date,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2024-04-19', '2023-10-20', '2024-04-21']",,
Audit Exceptions,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[0, 0, 0]",,
Issue Description/Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,[],,
Corrective Actions (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[86, 100, 90]",,
Timely Report Filing (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[87, 95, 98]",,
Key Grant Deliverables On-Track,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Milestone 2/3', 'Behind', 'Milestone 2/3']",,
Grant Drawdown Schedule Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Ahead', 'On', 'On']",,
Disallowed/Questioned Costs ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[505, 2462, 3426]",,
Federal Financial Reporting Score,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[9.3, 9.12, 7.26]",,
Project Compliance Training Rate,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[89, 97, 91]",,
Indirect Cost Rate (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[14.28, 13.88, 9.88]",,
Document Request Response Time (days),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[7.8, 4.6, 7.9]",,
Risk of Fund Clawback,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Low', 'Low', 'Low']",,
Pending/Upcoming Reports,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2025-09-27: Final/Quarterly', '2024-04-28: Final/Quarterly', '2025-01-15: Final/Quarterly']",,
History of Extension Requests,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[1, 1, 0]",,
Grant Renewal Eligibility Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Not Eligible', 'Eligible', 'Not Eligible']",,
Percent Used for Direct Instruction/Student,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[95, 59, 61]",,
Funder Satisfaction/Survey Score,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[8.3, 9.2, 8.4]",,
"('Metric Category', 'Area or line item compared')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"['IT Spend Per Student', 'IT Spend Per Student', 'IT Spend Per Student']",,
"('Fiscal Year', 'Year of comparison')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[2023, 2023, 2023]",,
"('College', 'Institution name (Paul Quinn, Peer HBCU, Non-HBCU)')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"['Paul Quinn', 'Peer HBCU 1', 'Peer HBCU 2']",,
"('IT Spend Per Student', 'Total IT spend divided by student enrollment')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[623.98, 2863.72, 4405.5]",,
"('Total IT Budget', 'Annual IT budget')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[2507142, 5484023, 6621463]",,
"('Instructional Spend Ratio', 'Instruction spend ÷ total revenue')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[1.03, 0.86, 0.88]",,
"('Academic Technology %', 'Share of IT budget on academic/teaching tech')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[30.4, 12.4, 27.7]",,
"('IT FTE Ratio', 'IT staff divided by student enrollment')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[0.004, 0.0104, 0.0053]",,
"('Benchmark Peer Median', 'Median value for comparable peer colleges')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[623.98, 623.98, 1743.85]",,
"('PQ Delta to Peer (%)', '% difference Paul Quinn to peer median')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"[0.0, 358.9, 152.6]",,
"('Budget Justification Flag', 'Yes/No indicator if PQ higher/lower than peer')",ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_hbcu_peer_benchmarking_examples.csv,"['No', 'Yes', 'Yes']",,
Required Metric,General,CSV Column,src\metrics\cfo\cfo_metric_coverage_analysis.csv,"['Budget vs. Actual Spend Analysis with variance alerts', 'Total IT Spend breakdown by project, vendor, and functional area with 3-year historical trends', 'Cost per Business Unit/Project allocation']",,
Currently Addressed,General,CSV Column,src\metrics\cfo\cfo_metric_coverage_analysis.csv,"['PARTIALLY - You have Budget and Spent fields but no variance calculation or alerts', 'PARTIALLY - You have vendor spend but missing 3-year trends and functional area breakdown', 'MISSING - No business unit/department allocation in current data']",,
Data Gaps,General,CSV Column,src\metrics\cfo\cfo_metric_coverage_analysis.csv,"['Need variance calculation, alert thresholds, historical budget data', 'Need 3-year historical data, functional area categories, trend analysis', 'Need department/business unit fields, cost allocation logic']",,
Implementation Priority,General,CSV Column,src\metrics\cfo\cfo_metric_coverage_analysis.csv,"['HIGH - Core CFO need', 'HIGH - Essential for reporting', 'MEDIUM - Important for accountability']",,
Investment Name,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"['Student Portal Upgrade', 'Student Portal Upgrade', 'Student Portal Upgrade']",,
Investment Category,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"['Infrastructure', 'Security', 'Security']",,
Year,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2023, 2024, 2025]",,
Total IT Investment,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[339869, 180857, 743986]",,
Student Population Served,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2446, 2668, 3488]",,
Cost Per Student Served,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[138.95, 67.79, 213.3]",,
Student Success Outcome Metric,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"['Digital Literacy', 'Graduation Rate', '1st-Year GPA']",,
Baseline Outcome Rate,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2.65, 76.77, 2.53]",,
Outcome Rate After Investment,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2.79, 77.9, 2.65]",,
Absolute Outcome Improvement,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[0.14, 1.13, 0.13]",,
Percent Outcome Improvement,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[5.36, 1.48, 5.06]",,
Cost Per Outcome Improvement,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2389144.0, 159586.19, 5819293.63]",,
Estimated Lifetime Benefit ($),ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[1434648, 642934, 1010325]",,
ROI (Outcome-Driven),ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[322.12, 255.49, 35.8]",,
Peer/Industry Benchmark,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[2.93, 76.96, 2.64]",,
Stakeholder Satisfaction Score,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"[3.9, 4.2, 4.3]",,
Grant/Funder ROI Requirement Met,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"['Yes', 'Yes', 'Yes']",,
Board-Level ROI Narrative,ROI & Benchmarking,CSV Column,src\metrics\cfo\cfo_student_success_roi_examples.csv,"['Enabled Digital Literacy improvement from 2.7 to 2.8 at $139 per student.', 'Enabled Graduation Rate improvement from 76.8 to 77.9 at $68 per student.', 'Enabled 1st-Year GPA improvement from 2.5 to 2.7 at $213 per student.']",,
Year,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"[2023, 2023, 2023]",,
Project,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"['Student Portal', 'Cybersecurity', 'Network Refresh']",,
Vendor,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"['Zoom', 'Tableau', 'Blackboard']",,
Functional Area,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"['Core IT', 'Student Services', 'Infrastructure']",,
Spend Amount,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"[361104, 87315, 205544]",,
% of Annual IT Budget,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"['12.9 %', '3.12 %', '7.34 %']",,
Spend YOY Change,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"['-287,802', '+170,459', '-60,778']",,
Peer/HBCU Benchmark Ratio,General,CSV Column,src\metrics\cfo\cfo_total_it_spend_breakdown_examples.csv,"[1.15, 0.95, 1.2]",,
Vendor,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"['Microsoft', 'Microsoft', 'Microsoft']",,
System/Product,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"['Network Mgmt', 'BI Analytics', 'Canvas LMS']",,
Annual Spend,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[383395, 116507, 197057]",,
Total Licenses/Seats,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[649, 362, 547]",,
Active Users,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[467, 146, 163]",,
Utilization Rate (%),General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[72.0, 40.3, 29.8]",,
Unused License Count,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[182, 216, 384]",,
Unused License Cost,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[107516.01, 69517.99, 138336.18]",,
Subscription Type,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"['Std', 'Faculty', 'Faculty']",,
Overlapping Subscription Flag,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[False, False, False]",,
Potential Savings ($),General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[107516.01, 69517.99, 138336.18]",,
Renewal Date,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"['2026-01-10', '2025-12-05', '2026-03-17']",,
Satisfaction Score,General,CSV Column,src\metrics\cfo\cfo_vendor_spend_optimization_examples.csv,"[4.3, 3.3, 3.1]",,
