field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Project Compliance Training Rate,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[89, 97, 91]",,
Indirect Cost Rate (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[14.28, 13.88, 9.88]",,
Document Request Response Time (days),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[7.8, 4.6, 7.9]",,
Risk of Fund Clawback,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Low', 'Low', 'Low']",,
Pending/Upcoming Reports,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2025-09-27: Final/Quarterly', '2024-04-28: Final/Quarterly', '2025-01-15: Final/Quarterly']",,
History of Extension Requests,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[1, 1, 0]",,
Grant Renewal Eligibility Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Not Eligible', 'Eligible', 'Not Eligible']",,
Percent Used for Direct Instruction/Student,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[95, 59, 61]",,
Funder Satisfaction/Survey Score,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[8.3, 9.2, 8.4]",,
Metric,General,CSV Column,src\metrics\hbcu\hbcu_grant_compliance_tracking_examples.csv,"['Active Grant Count', 'Percent Grant Allocation Used', 'Timeliness of Grant Reporting']",,
Description,General,CSV Column,src\metrics\hbcu\hbcu_grant_compliance_tracking_examples.csv,"['Current number of active federal/foundation grants managed', 'Percent of budgeted grant dollars spent in cycle', 'Percent of required reports submitted on time']",,
Example,General,CSV Column,src\metrics\hbcu\hbcu_grant_compliance_tracking_examples.csv,"['12', '84%', '95%']",,
